title,month
Principal Software Engineer,7
Senior Software Engineer,20
Software Engineer,38
Principal Software Engineer,40
Senior Software Developer,156
Software Engineer,25
Principal Software Engineer,20
Senior Software Engineer,118
Software Engineer,83
Principal Software Engineer,16
Senior Software Engineer,20
Software Engineer,27
Principal Software Engineer,45
Senior Software Engineer,24
Software Engineer,64
Principal Software Engineer,16
Senior Software Engineer,33
Software Engineer,73
Principal Software Engineer,23
Senior Software Engineer,69
Principal Software Engineer,18
Senior Software Engineer,34
Software Engineer,55
Software Developer,16
